C_1002_M_001, Z2, EA1
C_1002_M_001, Z4, EA3
C_1002_M_002, Z2, EA1
C_1002_M_003, Z2, EA1
C_1006_M_003, Z2, EA
C_1006_M_004, Z2, EA
C_1006_M_005, Z2, EA
C_1007_M_001, Z2, EA1
C_1007_M_001, Z3, EA2
C_1007_M_004, Z2, EA1
C_1009_M_002, Z2, EA2
C_1009_M_003, Z2, uEA1EA2
C_1012_M_001, Z2, VB2
C_1012_M_001, Z3, EA
C_1012_M_002, Z2, VB2
C_1012_M_002, Z3, EA
C_1012_M_003, Z2, VB2
C_1013_M_001, Z2, VB2
C_1013_M_001, Z3, EA1
C_1013_M_002, Z2, VB2
C_1013_M_002, Z3, EA1
C_1015_M_002, Z4, VB2
C_1015_M_002, Z3, EA
C_1016_M_001, Z4, EA2
C_1017_M_001, Z4, EA2
C_1017_M_001, Z2, EA1
C_1017_M_002, Z2, EA1
C_1017_M_002, Z4, EA2
C_1020_M_001, Z5, EA3
C_1020_M_001, Z2, EA1
C_1021_M_001, Z3, EA2
C_1025_M_001, Z4, EA3
C_1026_M_003, Z3, EAEAn
C_1028_M_001, Z2, VB2
C_1029_M_001, Z2, VB2
C_1032_M_002, Z2, SPB
C_1032_M_002, Z2, SPLuEA
C_1032_M_003, Z2, SPB
C_1032_M_003, Z2, SPL
C_1037_M_001, Z2, EA1
C_1038_M_001, Z3, VB2
C_1041_M_001, Z7, EA4
C_1041_M_001, Z5, EA2
C_1042_M_001, Z2, EA1
C_1042_M_001, Z8, EA5
C_1042_M_001, Z6, EA3
C_1046_M_001, Z3, EA2
C_1051_M_001, Z4, VB4
C_1052_M_002, Z2, EA1EA2
C_1052_M_002, Z3, EA3
C_1054_M_001, Z2, EA1
C_1054_M_001, Z4, EA2
C_1056_M_001, Z4, VB2
C_1061_M_001, Z3, VB2
C_1062_M_001, Z3, SPB
C_1062_M_001, Z3, SPL
C_1063_M_001, Z3, SPB
C_1063_M_001, Z3, SPL
C_1064_M_001, Z5, VB2
C_1064_M_001, Z4, EA2
C_1065_M_001, Z2, VB2
C_1068_M_001, Z2, VB2
C_1068_M_001, Z3, uEA1EA2
C_1253_M_001, Z3, EA
C_1253_M_002, Z3, EA
C_1254_M_001, Z3, VB2
C_1254_M_001, Z4, EA
C_1254_M_002, Z3, VB2
C_1254_M_002, Z4, EA
C_1255_M_001, Z3, VB2
C_1257_M_001, Z5, VB2
C_1258_M_001, Z4, EA2
C_1258_M_001, Z6, EA4
C_1266_M_001, Z3, VB2
C_1266_M_002, Z3, VB2
C_1268_M_001, Z3, EA1
C_1269_M_002, Z3, EA2
C_1273_M_001, Z7, VB6
C_2006_M_001, Z2, VB2
C_2250_M_001, Z2, VB2
C_2260_M_001, Z3, VB2
C_2270_M_001, Z2, VB2
